Date,Purchases,Sales
2003-12-19,99,240
2003-12-22,95,273
2003-12-23,107,276
2003-12-24,58,175
2003-12-29,77,271
2003-12-30,86,254
2003-12-31,74,237
2004-01-02,79,136
2004-01-05,154,298
2004-01-06,95,295
2004-01-07,70,295
2004-01-08,71,208
2004-01-09,50,226
2004-01-12,69,199
2004-01-13,68,204
2004-01-14,82,201
2004-01-15,74,209
2004-01-16,84,217
2004-01-20,78,286
2004-01-21,44,228
2004-01-22,72,258
2004-01-23,90,259
2004-01-26,58,229
2004-01-27,76,274
2004-01-28,76,321
2004-01-29,81,264
2004-01-30,84,224
2004-02-02,104,287
2004-02-03,100,432
2004-02-04,102,414
2004-02-05,61,291
2004-02-06,105,329
2004-02-09,90,324
2004-02-10,71,370
2004-02-11,91,425
2004-02-12,76,400
2004-02-13,75,474
2004-02-17,101,416
2004-02-18,68,350
2004-02-19,99,493
2004-02-20,93,454
2004-02-23,83,310
2004-02-24,92,329
2004-02-25,91,354
2004-02-26,128,359
2004-02-27,66,453
2004-03-01,109,403
2004-03-02,98,484
2004-03-03,101,519
2004-03-04,81,330
2004-03-05,82,375
2004-03-08,90,387
2004-03-09,76,317
2004-03-10,61,349
2004-03-11,61,271
2004-03-12,74,208
2004-03-15,96,236
2004-03-16,96,245
2004-03-17,105,224
2004-03-18,75,227
2004-03-19,72,193
2004-03-22,70,196
2004-03-23,102,201
2004-03-24,82,179
2004-03-25,64,186
2004-03-26,50,168
2004-03-29,75,171
2004-03-30,52,206
2004-03-31,77,230
2004-04-01,98,250
2004-04-02,133,300
2004-04-05,81,312
2004-04-06,61,256
2004-04-07,64,239
2004-04-08,62,227
2004-04-09,24,77
2004-04-12,63,122
2004-04-13,81,154
2004-04-14,98,199
2004-04-15,85,175
2004-04-16,94,134
2004-04-19,71,151
2004-04-20,69,165
2004-04-21,97,215
2004-04-22,72,195
2004-04-23,88,216
2004-04-26,103,233
2004-04-27,71,262
2004-04-28,105,327
2004-04-29,97,258
2004-04-30,97,209
2004-05-03,123,205
2004-05-04,212,320
2004-05-05,111,384
2004-05-06,121,310
2004-05-07,147,254
2004-05-10,158,225
2004-05-11,216,210
2004-05-12,150,224
2004-05-13,135,228
2004-05-14,106,181
2004-05-17,128,231
2004-05-18,116,200
2004-05-19,148,256
2004-05-20,120,250
2004-05-21,125,207
2004-05-24,138,227
2004-05-25,110,234
2004-05-26,92,305
2004-05-27,122,373
2004-05-28,87,284
2004-06-01,102,343
2004-06-02,102,349
2004-06-03,111,391
2004-06-04,84,249
2004-06-07,100,250
2004-06-08,105,315
2004-06-09,83,311
2004-06-10,89,284
2004-06-14,106,283
2004-06-15,90,179
2004-06-16,105,257
2004-06-17,85,247
2004-06-18,80,169
2004-06-21,89,197
2004-06-22,71,161
2004-06-23,87,196
2004-06-24,51,176
2004-06-25,53,177
2004-06-28,60,190
2004-06-29,65,167
2004-06-30,44,229
2004-07-01,123,216
2004-07-02,109,241
2004-07-06,58,176
2004-07-07,51,154
2004-07-08,93,160
2004-07-09,55,139
2004-07-12,42,98
2004-07-13,48,118
2004-07-14,34,109
2004-07-15,113,106
2004-07-16,72,147
2004-07-19,79,113
2004-07-20,60,104
2004-07-21,54,110
2004-07-22,65,135
2004-07-23,65,91
2004-07-26,92,117
2004-07-27,87,139
2004-07-28,104,156
2004-07-29,105,221
2004-07-30,117,187
2004-08-02,88,207
2004-08-03,129,299
2004-08-04,128,386
2004-08-05,117,265
2004-08-06,128,193
2004-08-09,133,145
2004-08-10,158,183
2004-08-11,115,193
2004-08-12,119,210
2004-08-13,109,193
2004-08-16,130,167
2004-08-17,97,227
2004-08-18,149,264
2004-08-19,114,252
2004-08-20,112,242
2004-08-23,101,259
2004-08-24,115,241
2004-08-25,102,239
2004-08-26,113,225
2004-08-27,76,220
2004-08-30,91,173
2004-08-31,91,178
2004-09-01,78,273
2004-09-02,94,353
2004-09-03,55,288
2004-09-07,70,177
2004-09-08,80,201
2004-09-09,72,241
2004-09-10,71,259
2004-09-13,67,225
2004-09-14,70,205
2004-09-15,104,251
2004-09-16,63,217
2004-09-17,63,210
2004-09-20,81,207
2004-09-21,67,166
2004-09-22,73,197
2004-09-23,78,197
2004-09-24,67,114
2004-09-27,76,133
2004-09-28,96,156
2004-09-29,78,133
2004-09-30,48,174
2004-10-01,116,191
2004-10-04,127,281
2004-10-05,77,257
2004-10-06,59,167
2004-10-07,59,164
2004-10-08,52,144
2004-10-12,82,189
2004-10-13,50,111
2004-10-14,43,130
2004-10-15,45,96
2004-10-18,91,109
2004-10-19,59,149
2004-10-20,50,136
2004-10-21,61,129
2004-10-22,82,128
2004-10-25,62,193
2004-10-26,91,202
2004-10-27,77,227
2004-10-28,64,248
2004-10-29,96,256
2004-11-01,128,281
2004-11-02,109,382
2004-11-03,88,479
2004-11-04,112,462
2004-11-05,103,408
2004-11-08,69,412
2004-11-09,105,366
2004-11-10,96,425
2004-11-12,150,708
2004-11-15,101,453
2004-11-16,96,442
2004-11-17,100,465
2004-11-18,97,351
2004-11-19,112,439
2004-11-22,107,306
2004-11-23,101,472
2004-11-24,96,519
2004-11-26,16,53
2004-11-29,74,393
2004-11-30,89,302
2004-12-01,108,524
2004-12-02,122,456
2004-12-03,93,501
2004-12-06,68,312
2004-12-07,103,337
2004-12-08,95,316
2004-12-09,83,279
2004-12-10,77,242
2004-12-13,80,256
2004-12-14,69,310
2004-12-15,86,351
2004-12-16,100,336
2004-12-17,109,306
2004-12-20,95,206
2004-12-21,85,273
2004-12-22,72,290
2004-12-23,99,288
2004-12-27,51,160
2004-12-28,69,175
2004-12-29,91,199
2004-12-30,47,190
2005-01-03,103,204
2005-01-04,148,341
2005-01-05,79,336
2005-01-06,74,136
2005-01-07,76,177
2005-01-10,63,119
2005-01-11,52,178
2005-01-12,64,162
2005-01-13,76,150
2005-01-14,67,159
2005-01-18,73,156
2005-01-19,83,164
2005-01-20,71,214
2005-01-21,71,143
2005-01-24,82,113
2005-01-25,51,144
2005-01-26,82,162
2005-01-27,81,170
2005-01-28,74,114
2005-01-31,85,163
2005-02-01,95,273
2005-02-02,107,430
2005-02-03,84,408
2005-02-04,71,301
2005-02-07,90,269
2005-02-08,110,341
2005-02-09,67,288
2005-02-10,113,267
2005-02-11,84,252
2005-02-14,89,264
2005-02-15,103,319
2005-02-16,105,403
2005-02-17,95,363
2005-02-18,97,308
2005-02-22,107,284
2005-02-23,102,227
2005-02-24,106,311
2005-02-25,126,278
2005-02-28,113,372
2005-03-01,110,395
2005-03-02,142,437
2005-03-03,121,409
2005-03-04,127,331
2005-03-07,84,373
2005-03-08,83,328
2005-03-09,105,293
2005-03-10,81,270
2005-03-11,99,243
2005-03-14,104,232
2005-03-15,103,227
2005-03-16,145,279
2005-03-17,129,294
2005-03-18,147,189
2005-03-21,73,213
2005-03-22,120,179
2005-03-23,73,224
2005-03-24,67,197
2005-03-25,46,65
2005-03-28,49,94
2005-03-29,53,133
2005-03-30,94,186
2005-03-31,89,167
2005-04-01,135,176
2005-04-04,107,252
2005-04-05,80,227
2005-04-06,101,179
2005-04-07,86,178
2005-04-08,73,159
2005-04-11,77,157
2005-04-12,45,114
2005-04-13,62,123
2005-04-14,90,128
2005-04-15,92,97
2005-04-18,78,84
2005-04-19,80,128
2005-04-20,74,106
2005-04-21,95,130
2005-04-22,96,108
2005-04-25,103,144
2005-04-26,102,182
2005-04-27,105,154
2005-04-28,93,146
2005-04-29,116,161
2005-05-02,116,214
2005-05-03,197,298
2005-05-04,128,334
2005-05-05,156,287
2005-05-06,139,264
2005-05-09,128,241
2005-05-10,123,280
2005-05-11,114,283
2005-05-12,143,250
2005-05-13,156,233
2005-05-16,180,218
2005-05-17,136,280
2005-05-18,160,323
2005-05-19,137,331
2005-05-20,135,350
2005-05-23,108,304
2005-05-24,145,275
2005-05-25,120,292
2005-05-26,129,337
2005-05-27,95,272
2005-05-31,132,310
2005-06-01,127,307
2005-06-02,160,394
2005-06-03,89,368
2005-06-06,77,266
2005-06-07,89,228
2005-06-08,93,312
2005-06-09,114,252
2005-06-10,63,205
2005-06-13,71,205
2005-06-14,68,273
2005-06-15,101,300
2005-06-16,100,282
2005-06-17,88,308
2005-06-20,99,243
2005-06-21,68,181
2005-06-22,111,229
2005-06-23,45,182
2005-06-24,54,153
2005-06-27,67,134
2005-06-28,81,133
2005-06-29,89,182
2005-06-30,84,142
2005-07-01,100,241
2005-07-05,100,232
2005-07-06,121,285
2005-07-07,58,218
2005-07-08,77,180
2005-07-11,55,151
2005-07-12,49,214
2005-07-13,72,216
2005-07-14,38,160
2005-07-15,70,166
2005-07-18,59,142
2005-07-19,61,151
2005-07-20,40,147
2005-07-21,42,151
2005-07-22,49,158
2005-07-25,68,173
2005-07-26,62,229
2005-07-27,89,298
2005-07-28,71,262
2005-07-29,110,256
2005-08-01,86,344
2005-08-02,158,509
2005-08-03,82,544
2005-08-04,103,408
2005-08-05,66,369
2005-08-08,79,225
2005-08-09,93,296
2005-08-10,167,304
2005-08-11,125,324
2005-08-12,105,307
2005-08-15,121,280
2005-08-16,132,311
2005-08-17,107,329
2005-08-18,128,260
2005-08-19,102,238
2005-08-22,134,232
2005-08-23,121,247
2005-08-24,84,267
2005-08-25,105,262
2005-08-26,94,243
2005-08-29,127,179
2005-08-30,106,218
2005-08-31,89,226
2005-09-01,114,288
2005-09-02,81,415
2005-09-06,92,306
2005-09-07,95,256
2005-09-08,72,315
2005-09-09,64,259
2005-09-12,61,267
2005-09-13,80,271
2005-09-14,64,291
2005-09-15,66,190
2005-09-16,83,245
2005-09-19,73,212
2005-09-20,80,172
2005-09-21,70,157
2005-09-22,99,167
2005-09-23,85,118
2005-09-26,76,124
2005-09-27,62,99
2005-09-28,70,150
2005-09-29,77,141
2005-09-30,102,119
2005-10-03,113,200
2005-10-04,156,254
2005-10-05,74,276
2005-10-06,81,135
2005-10-07,75,103
2005-10-11,127,170
2005-10-12,101,95
2005-10-13,77,75
2005-10-14,110,107
2005-10-17,94,73
2005-10-18,79,103
2005-10-19,68,134
2005-10-20,47,74
2005-10-21,73,116
2005-10-24,72,127
2005-10-25,75,140
2005-10-26,96,154
2005-10-27,74,147
2005-10-28,99,144
2005-10-31,124,182
2005-11-01,138,245
2005-11-02,146,397
2005-11-03,121,385
2005-11-04,110,296
2005-11-07,93,242
2005-11-08,126,274
2005-11-09,108,299
2005-11-10,115,322
2005-11-14,170,552
2005-11-15,127,297
2005-11-16,126,355
2005-11-17,112,290
2005-11-18,94,331
2005-11-21,113,369
2005-11-22,133,423
2005-11-23,143,495
2005-11-25,26,65
2005-11-28,105,348
2005-11-29,112,192
2005-11-30,112,276
2005-12-01,129,337
2005-12-02,107,402
2005-12-05,101,363
2005-12-06,80,259
2005-12-07,94,272
2005-12-08,98,232
2005-12-09,97,208
2005-12-12,79,265
2005-12-13,94,286
2005-12-14,86,320
2005-12-15,104,268
2005-12-16,87,264
2005-12-19,89,213
2005-12-20,103,224
2005-12-21,104,197
2005-12-22,126,242
2005-12-23,60,130
2005-12-27,73,126
2005-12-28,50,141
2005-12-29,126,191
2005-12-30,82,101
2006-01-03,112,150
2006-01-04,161,292
2006-01-05,96,397
2006-01-06,74,217
2006-01-09,72,201
2006-01-10,84,232
2006-01-11,74,267
2006-01-12,80,174
2006-01-13,93,165
2006-01-17,82,162
2006-01-18,71,130
2006-01-19,73,157
2006-01-20,64,152
2006-01-23,87,159
2006-01-24,66,148
2006-01-25,65,179
2006-01-26,62,212
2006-01-27,100,225
2006-01-30,81,272
2006-01-31,83,274
2006-02-01,78,351
2006-02-02,116,386
2006-02-03,101,408
2006-02-06,69,256
2006-02-07,83,278
2006-02-08,92,263
2006-02-09,84,236
2006-02-10,74,268
2006-02-13,82,232
2006-02-14,98,261
2006-02-15,115,337
2006-02-16,101,367
2006-02-17,111,400
2006-02-21,113,361
2006-02-22,77,337
2006-02-23,91,387
2006-02-24,102,392
2006-02-27,105,315
2006-02-28,111,355
2006-03-01,117,463
2006-03-02,113,505
2006-03-03,121,496
2006-03-06,97,300
2006-03-07,79,324
2006-03-08,84,334
2006-03-09,99,262
2006-03-10,111,271
2006-03-13,80,267
2006-03-14,102,254
2006-03-15,80,392
2006-03-16,114,351
2006-03-17,100,366
2006-03-20,72,279
2006-03-21,79,258
2006-03-22,90,247
2006-03-23,58,231
2006-03-24,94,193
2006-03-27,65,201
2006-03-28,79,196
2006-03-29,55,195
2006-03-30,56,254
2006-03-31,72,226
2006-04-03,55,218
2006-04-04,124,342
2006-04-05,78,424
2006-04-06,80,233
2006-04-07,44,209
2006-04-10,63,180
2006-04-11,47,156
2006-04-12,73,250
2006-04-13,53,185
2006-04-14,41,87
2006-04-17,69,115
2006-04-18,67,147
2006-04-19,85,190
2006-04-20,68,227
2006-04-21,70,222
2006-04-24,50,171
2006-04-25,66,211
2006-04-26,69,226
2006-04-27,71,211
2006-04-28,78,195
2006-05-01,117,312
2006-05-02,158,455
2006-05-03,103,532
2006-05-04,116,369
2006-05-05,118,352
2006-05-08,96,386
2006-05-09,99,402
2006-05-10,95,395
2006-05-11,103,349
2006-05-12,121,334
2006-05-15,138,296
2006-05-16,154,271
2006-05-17,172,297
2006-05-18,159,294
2006-05-19,172,224
2006-05-22,154,186
2006-05-23,137,208
